Site,Treatment,Colony,Date,Mass,Brood,Framesbees,Updatedbrood
Ivis,Soybean,22,7/8/16,32.70039535,194,31.5,330576
Ivis,Soybean,23,7/8/16,12.6080612,132,11.5,224928
Ivis,Soybean,24,7/8/16,37.4631145,83,17,141432
East Dairy,Soybean,25,7/8/16,34.97,223,6,379992
East Dairy,Soybean,26,7/8/16,22.15,168,19,286272
East Dairy,Soybean,27,7/8/16,17.2,176,12,299904
East Dairy,Soybean,28,7/8/16,22.3,135,28,230040
Curtiss,Soybean,29,7/8/16,10,152,7,259008
Curtiss,Soybean,30,7/8/16,28,243,18,414072
Curtiss,Soybean,31,7/8/16,19.65,217,26.5,369768
Curtiss,Soybean,32,7/8/16,20.3,226,20,385104
Oakland,Soybean,33,7/8/16,20.45340325,201,20,342504
Oakland,Soybean,34,7/8/16,28.61806465,209.5,20.5,356988
Oakland,Soybean,35,7/8/16,9.8865074,147,13,250488
Oakland,Soybean,36,7/8/16,16.901461,251,13,427704
Kostelnick,Soybean,37,7/8/16,10.6,196,16,333984
Kostelnick,Soybean,38,7/8/16,6.35,73,10,124392
Kostelnick,Soybean,39,7/8/16,11.15,80.5,9.5,137172
Kostelnick,Soybean,40,7/8/16,10.65,137,13,233448
7 Pines,CSA,41,7/8/16,22.9481609,238.5,19.5,406404
7 Pines,CSA,42,7/8/16,31.5664146,211,22,359544
7 Pines,CSA,43,7/8/16,27.71088005,209.5,30,356988
7 Pines,CSA,44,7/8/16,17.1439842,109,14,185736
Black Cat,CSA,45,7/8/16,17.5050533,197,19.5,335688
Black Cat,CSA,46,7/8/16,24.2089378,233,28.5,397032
Black Cat,CSA,47,7/8/16,11.47408045,,,0
Black Cat,CSA,48,7/8/16,6.93815745,54.5,10.5,92868
River Ridge,CSA,49,7/8/16,17.55,172,21,293088
River Ridge,CSA,50,7/8/16,9.8,138,14,235152
River Ridge,CSA,51,7/8/16,15.05,222,17,378288
River Ridge,CSA,52,7/8/16,30.3,220,26,374880
Mustard Seed,CSA,53,7/8/16,26.55,263,24,448152
Mustard Seed,CSA,54,7/8/16,16.65,205.5,15,350172
Mustard Seed,CSA,55,7/8/16,19.5,168,11,286272
Mustard Seed,CSA,56,7/8/16,23.35,21,16,35784
Berry Patch Farm,CSA,57,7/8/16,13.4227226,108.5,12,184884
Berry Patch Farm,CSA,58,7/8/16,19.3194225,113,12,192552
Berry Patch Farm,CSA,59,7/8/16,16.5978687,129.5,12,220668
Berry Patch Farm,CSA,60,7/8/16,15.2370918,293,14,499272
Uthe,Soybean,1,7/22/16,9.3939842,308,11,524832
